finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
010780054;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CH DE FLEYRIAT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;572.0;73.94;C;;572.0;71.69;572.0;81.98;572.0;80.89;572.0;73.6;572.0;60.63;572.0;64.99;55.5;568.0
010780062;CH DOCTEUR RECAMIER;010000032;CH HAUT BUGEY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;313.0;70.93;C;;313.0;69.57;313.0;80.57;313.0;77.39;313.0;67.39;313.0;61.11;313.0;60.84;47.6;313.0
010780096;CH DE MONTPENSIER TREVOUX;010000065;CH DE TREVOUX - MONTPENSIER;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
010008407;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY - GEOVREISSET;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;36.0;75.05;B;;36.0;77.82;36.0;82.23;36.0;79.68;36.0;73.98;36.0;62.89;36.0;64.36;41.7;36.0
010780195;CLINIQUE DOCTEUR CONVERT;010780195;CLINIQUE CONVERT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;114.0;73.16;C;;114.0;72.19;114.0;82.37;114.0;80.45;114.0;73.36;114.0;53.83;114.0;62.8;54.0;113.0
010780203;HÔPITAL PRIVE D–AMBÉRIEU;010780203;HOPITAL PRIVE D'AMBERIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;278.0;71.54;C;;278.0;72.92;278.0;80.37;278.0;79.78;278.0;68.94;278.0;65.46;278.0;54.51;43.3;277.0
020000022;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE;Hauts de France;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN;Hauts de France;1- Obligatoire;1- Oui;98.0;69.43;D;;98.0;70.06;98.0;77.0;98.0;73.97;98.0;68.65;98.0;68.06;98.0;56.07;41.8;98.0
020000360;CLINIQUE COURLANCY SOISSONS;020000360;CLINIQUE COURLANCY SOISSONS;Hauts de France;1- Obligatoire;1- Oui;52.0;77.69;A;;52.0;78.4;52.0;82.21;52.0;83.34;52.0;75.08;52.0;63.53;52.0;73.58;82.7;52.0
020000253;CH DE LAON;020000394;CH LAON;Hauts de France;1- Obligatoire;1- Oui;99.0;71.39;C;;99.0;68.87;99.0;80.12;99.0;77.94;99.0;68.64;99.0;54.38;99.0;65.6;38.4;99.0
020000261;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;Hauts de France;1- Obligatoire;1- Oui;313.0;71.07;C;;313.0;69.97;313.0;78.72;313.0;77.85;313.0;71.95;313.0;55.34;313.0;61.85;44.6;312.0
020000287;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;Hauts de France;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY;Hauts de France;1- Obligatoire;1- Oui;169.0;69.43;D;;169.0;67.75;169.0;79.4;169.0;76.04;169.0;66.72;169.0;56.68;169.0;59.83;42.6;169.0
