finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
010780054;010000024;Auvergne-Rhône-Alpes;CH DE BOURG EN BRESSE FLEYRIAT;73.94;55.5;MCO_48H
010780062;010000032;Auvergne-Rhône-Alpes;CH DOCTEUR RECAMIER;70.93;47.6;MCO_48H
010780096;010000065;Auvergne-Rhône-Alpes;CH DE MONTPENSIER TREVOUX;;;MCO_48H
010008407;010005239;Auvergne-Rhône-Alpes;CH DU HAUT BUGEY;75.05;41.7;MCO_48H
010780195;010780195;Auvergne-Rhône-Alpes;CLINIQUE DOCTEUR CONVERT;73.16;54.0;MCO_48H
010780203;010780203;Auvergne-Rhône-Alpes;HÔPITAL PRIVE D–AMBÉRIEU;71.54;43.3;MCO_48H
020000022;020000089;Hauts de France;CENTRE HOSPITALIER DE GUISE;;;MCO_48H
020000063;020000162;Hauts de France;CENTRE HOSPITALIER DE SAINT QUENTIN;69.43;41.8;MCO_48H
020000360;020000360;Hauts de France;CLINIQUE COURLANCY SOISSONS;77.69;82.7;MCO_48H
020000253;020000394;Hauts de France;CH DE LAON;71.39;38.4;MCO_48H
020000261;020000519;Hauts de France;CENTRE HOSPITALIER DE SOISSONS;71.07;44.6;MCO_48H
020000287;020000535;Hauts de France;CENTRE HOSPITALIER DE CHAUNY;;;MCO_48H
020004404;020001061;Hauts de France;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;69.43;42.6;MCO_48H
020004495;020001087;Hauts de France;CENTRE HOSPITALIER D'HIRSON;;;MCO_48H
020010047;020010047;Hauts de France;POLYCLINIQUE SAINT CLAUDE;76.31;58.8;MCO_48H
030780092;030000061;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER MOULINS YZEURE;72.68;52.6;MCO_48H
030780100;030000079;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE MONTLUCON;72.02;42.4;MCO_48H
030780118;030000087;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE VICHY;70.98;42.9;MCO_48H
030780548;030780548;Auvergne-Rhône-Alpes;POLYCLINIQUE LA PERGOLA;75.63;54.9;MCO_48H
030781116;030781116;Auvergne-Rhône-Alpes;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;76.04;50.0;MCO_48H
030785430;030785430;Auvergne-Rhône-Alpes;POLYCLINIQUE SAINT-ODILON;78.27;70.7;MCO_48H
040780215;040000093;PACA;CENTRE HOSPITALIER DE MANOSQUE;74.99;57.7;MCO_48H
050002948;040000135;PACA;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;;;MCO_48H
040788879;040000911;PACA;CENTRE HOSPITALIER DE DIGNE LES BAINS;75.49;60.7;MCO_48H
040780470;040780470;PACA;CLINIQUE DE TOUTES AURES;81.51;80.0;MCO_48H
050000090;050000090;PACA;POLYCLINIQUE DES ALPES DU SUD GAP;78.5;67.9;MCO_48H
050000116;050000231;PACA;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;73.39;62.3;MCO_48H
050002948;050000348;PACA;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;71.29;46.1;MCO_48H
060780897;060000478;PACA;CENTRE HOSPITALIER DE GRASSE;74.44;66.9;MCO_48H
060780905;060000486;PACA;CENTRE HOSPITALIER SAINT ELOI DE SOSPEL;;;MCO_48H
060780954;060000510;PACA;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;70.81;51.4;MCO_48H
060000528;060000528;PACA;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;76.25;71.3;MCO_48H
060780988;060000544;PACA;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;71.07;54.4;MCO_48H
060791761;060002102;PACA;CENTRE HOSPITALIER LA PALMOSA DE MENTON;72.1;43.3;MCO_48H
060021417;060021417;PACA;HOPITAL PRIVE CANNES OXFORD;76.25;64.9;MCO_48H
060780442;060780442;PACA;CLINIQUE SAINT FRANCOIS;;;MCO_48H
060780491;060780491;PACA;INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR;73.37;59.9;MCO_48H
060780517;060780517;PACA;POLYCLINIQUE SAINT JEAN;75.68;65.0;MCO_48H
060780590;060780590;PACA;CLINIQUE DU PALAIS;76.14;60.4;MCO_48H
060780715;060780715;PACA;CLINIQUE SAINT GEORGE;72.68;56.6;MCO_48H
060780723;060780723;PACA;CLINIQUE DU PARC IMPERIAL;74.26;49.5;MCO_48H
060780756;060780756;PACA;POLYCLINIQUE SANTA MARIA;71.53;54.3;MCO_48H
060780947;060780947;PACA;HOPITAL LENVAL;69.59;58.9;MCO_48H
060781200;060781200;PACA;CLINIQUE SAINT ANTOINE;74.23;30.6;MCO_48H
060785011;060785003;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;73.42;56.2;MCO_48H
060785011;060788957;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;;;MCO_48H
060785011;060789195;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;71.32;54.2;MCO_48H
060794013;060794013;PACA;CENTRE DE CARDIOLOGIE MEDICO CHIRURGICALE TZANCK;76.91;78.3;MCO_48H
060800166;060800166;PACA;CLINIQUE DE L'ESPERANCE;73.97;65.8;MCO_48H
070002878;070000013;Auvergne-Rhône-Alpes;CH DES VALS D'ARDÈCHE;;;MCO_48H
070780358;070000179;Auvergne-Rhône-Alpes;CH D'ARDÈCHE NORD;71.29;42.3;MCO_48H
070780374;070000195;Auvergne-Rhône-Alpes;CH DE TOURNON;;;MCO_48H
070005566;070000484;Auvergne-Rhône-Alpes;CH D'ARDECHE MERIDIONALE;;;MCO_48H
070005566;070000609;Auvergne-Rhône-Alpes;CH D'ARDECHE MERIDIONALE;71.21;42.9;MCO_48H
070780168;070780168;Auvergne-Rhône-Alpes;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;79.05;57.4;MCO_48H
070780424;070780424;Auvergne-Rhône-Alpes;CLINIQUE PASTEUR;74.61;58.4;MCO_48H
080011174;080000110;Grand Est;CHI NORD ARDENNES;;;MCO_48H
080001969;080000219;Grand Est;GROUPE HOSPITALIER SUD ARDENNES;;;MCO_48H
080011174;080000425;Grand Est;CHI NORD ARDENNES;71.98;58.5;MCO_48H
080010473;080010473;Grand Est;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;;;MCO_48H
090781774;090000175;Occitanie;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;74.35;55.8;MCO_48H
090781816;090000183;Occitanie;CENTRE HOSPITALIER ARIEGE COUSERANS;75.97;66.2;MCO_48H
090781774;090001629;Occitanie;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;;;MCO_48H
100000082;100000082;Grand Est;CLINIQUE DU PAYS DE SEINE;;;MCO_48H
100000017;100000090;Grand Est;CENTRE HOSPITALIER DE TROYES;71.15;45.4;MCO_48H
100000124;100000124;Grand Est;POLYCLINIQUE  MONTIER LA CELLE;75.85;67.2;MCO_48H
100006279;100000199;Grand Est;GROUPEMENT HOSPITALIER AUBE MARNE;72.68;53.8;MCO_48H
100010818;100010818;Grand Est;GCS ES CLINIQUE DE CHAMPAGNE;70.84;48.9;MCO_48H
110780061;110000023;Occitanie;CENTRE HOSPITALIER DE CARCASSONNE;72.56;46.3;MCO_48H
110780137;110000056;Occitanie;CENTRE HOSPITALIER DE NARBONNE;68.96;30.0;MCO_48H
110780228;110780228;Occitanie;POLYCLINIQUE LE LANGUEDOC;72.64;42.5;MCO_48H
110780483;110780483;Occitanie;POLYCLINIQUE MONTREAL;76.53;56.9;MCO_48H
120780044;120000039;Occitanie;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;70.09;41.1;MCO_48H
120780069;120000054;Occitanie;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;76.17;66.7;MCO_48H
120780085;120000070;Occitanie;CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE;;;MCO_48H
120004528;120004569;Occitanie;CENTRE HOSPITALIER DE MILLAU;;;MCO_48H
120004619;120004668;Occitanie;CENTRE HOSPITALIER DE SAINT AFFRIQUE;79.03;69.6;MCO_48H
130041916;130000409;PACA;CHI AIX PERTUIS;67.64;46.0;MCO_48H
130781446;130000565;PACA;CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE;69.88;49.4;MCO_48H
130782634;130001225;PACA;CENTRE HOSPITALIER DE SALON DE PROVENCE;68.35;40.0;MCO_48H
130001647;130001647;PACA;INSTITUT PAOLI CALMETTES;77.02;79.5;MCO_48H
130785512;130002215;PACA;CENTRE HOSPITALIER DE LA CIOTAT;74.07;68.2;MCO_48H
130789274;130002827;PACA;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;70.74;46.2;MCO_48H
130789316;130002835;PACA;CENTRE HOSPITALIER DE MARTIGUES;;;MCO_48H
130008253;130008253;PACA;CLINIQUE DE VITROLLES;75.35;61.1;MCO_48H
130037922;130037922;PACA;CLINIQUE DE LA RESIDENCE DU PARC;78.72;55.9;MCO_48H
130041767;130041767;PACA;EUROMED CARDIO;76.14;74.5;MCO_48H
130042096;130042096;PACA;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;71.25;58.6;MCO_48H
130043664;130043664;PACA;HOPITAL EUROPEEN;76.48;68.3;MCO_48H
130044753;130044753;PACA;CLINIQUE MONTICELLI VELODROME;;;MCO_48H
130786049;130780521;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;68.85;43.8;MCO_48H
130781370;130781370;PACA;CLINIQUE JEANNE D'ARC;70.56;43.6;MCO_48H
130781479;130781479;PACA;HOPITAL PRIVE LA CASAMANCE;71.17;45.9;MCO_48H
130781867;130781867;PACA;CLINIQUE DE LA CIOTAT;79.08;79.7;MCO_48H
130782071;130782071;PACA;CLINIQUE DE L'ETANG DE L'OLIVIER;71.33;45.2;MCO_48H
130782147;130782147;PACA;CLINIQUE GENERALE DE MARIGNANE;69.79;42.1;MCO_48H
130782162;130782162;PACA;CLINIQUE CHIRURGICALE DE MARTIGUES;76.6;58.7;MCO_48H
130782675;130782675;PACA;CLINIQUE VIGNOLI;80.13;63.8;MCO_48H
130786049;130783236;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;70.46;48.3;MCO_48H
130786049;130783293;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;67.1;43.8;MCO_48H
130783327;130783327;PACA;CLINIQUE BOUCHARD;72.35;51.2;MCO_48H
130783665;130783665;PACA;CLINIQUE DE BONNEVEINE;;;MCO_48H
130783723;130783723;PACA;CLINIQUE JUGE;77.24;70.4;MCO_48H
130784051;130784051;PACA;HOPITAL PRIVE CLAIRVAL;71.71;58.9;MCO_48H
130786049;130784234;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;73.25;56.7;MCO_48H
130784713;130784713;PACA;HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU;71.6;55.1;MCO_48H
130784903;130784903;PACA;CLINIQUE LA PHOCEANNE;83.56;67.8;MCO_48H
130785389;130785389;PACA;CLINIQUE CHANTECLER;76.5;60.5;MCO_48H
130785652;130785652;PACA;HOPITAL SAINT JOSEPH;72.01;57.9;MCO_48H
130785678;130785678;PACA;HOPITAL PRIVE MARSEILLE VERT COTEAU;73.68;39.1;MCO_48H
130786361;130786361;PACA;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;75.15;66.3;MCO_48H
130786445;130786445;PACA;MATERNITE CATHOLIQUE DE PROVENCE L'ETOILE;76.51;73.3;MCO_48H
130786742;130786742;PACA;HOPITAL D'INSTRUCTION DES ARMEES LAVERAN;74.59;66.0;MCO_48H
130789159;130789159;PACA;CENTRE CARDIO VASCULAIRE VALMANTE;;;MCO_48H
130786049;130804297;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;67.18;41.1;MCO_48H
130810740;130810740;PACA;CLINIQUE AXIUM;75.37;59.0;MCO_48H
140000035;140000027;Normandie;CENTRE HOSPITALIER DE LISIEUX;70.77;37.4;MCO_48H
140000100;140000209;Normandie;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE;71.73;49.3;MCO_48H
140000118;140000233;Normandie;CENTRE HOSPITALIER DE FALAISE;74.49;58.3;MCO_48H
140000290;140000290;Normandie;CLINIQUE NOTRE DAME - VIRE;76.66;59.7;MCO_48H
140000159;140000373;Normandie;CENTRE HOSPITALIER DE VIRE;;;MCO_48H
140000555;140000555;Normandie;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER FRANCOIS BACLESSE;78.7;83.1;MCO_48H
140002452;140002452;Normandie;CLINIQUE DE LA MISERICORDE - CAEN;;;MCO_48H
140000100;140004383;Normandie;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE;;;MCO_48H
140016759;140016759;Normandie;POLYCLINIQUE DU PARC - CAEN;73.72;59.6;MCO_48H
